City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
New Norfolk,-42.7826,147.0587,12.06,69,81,4.92,AU,1662872718
Port Elizabeth,-33.918,25.5701,14.62,88,17,2.24,ZA,1662872719
Rikitea,-23.1203,-134.9692,22.86,69,19,5.3,PF,1662872719
Albany,42.6001,-73.9662,19.7,88,100,0.77,US,1662872719
Thompson,55.7435,-97.8558,9.91,64,100,3.63,CA,1662872720
Ushuaia,-54.8,-68.3,2.81,75,20,1.03,AR,1662872721
Nouakchott,18.0858,-15.9785,26.44,76,72,7.64,MR,1662872721
Ndago,-4.6,34.35,18.88,57,8,4.0,TZ,1662872722
Qasigiannguit,68.8193,-51.1922,10.14,90,100,4.68,GL,1662872722
Mahébourg,-20.4081,57.7,22.92,63,79,6.24,MU,1662872723
Talnakh,69.4865,88.3972,4.56,99,100,3.66,RU,1662872724
Mwanza,-2.5167,32.9,23.22,57,60,2.59,TZ,1662872725
Punta Arenas,-53.15,-70.9167,5.06,76,86,5.6,CL,1662872444
Ribeira Grande,38.5167,-28.7,22.64,75,100,12.67,PT,1662872726
Hilo,19.7297,-155.09,25.85,83,40,1.54,US,1662872727
Mar del Plata,-38.0023,-57.5575,7.15,86,0,2.68,AR,1662872728
George Town,5.4112,100.3354,27.72,75,40,2.57,MY,1662872476
Luganville,-15.5333,167.1667,27.79,64,2,3.63,VU,1662872729
Hobart,-42.8794,147.3294,12.25,56,40,9.26,AU,1662872678
Vestmannaeyjar,63.4427,-20.2734,10.89,88,100,4.02,IS,1662872730
Kenai,60.5544,-151.2583,10.64,89,100,2.57,US,1662872730
Saskylakh,71.9167,114.0833,1.64,86,100,6.06,RU,1662872731
Ketchikan,55.3422,-131.6461,11.53,80,13,3.3,US,1662872498
Chokurdakh,70.6333,147.9167,6.06,73,100,4.34,RU,1662872733
Lerwick,60.1545,-1.1494,8.0,80,44,2.66,GB,1662872734
Tual,-5.6667,132.75,26.92,81,96,5.47,ID,1662872735
Bredasdorp,-34.5322,20.0403,12.06,88,100,3.14,ZA,1662872736
Carnarvon,-24.8667,113.6333,23.44,41,0,3.18,AU,1662872736
Faanui,-16.4833,-151.75,25.4,75,7,7.44,PF,1662872737
Hay River,60.8156,-115.7999,8.45,78,1,3.47,CA,1662872737
Avarua,-21.2078,-159.775,24.03,83,20,4.12,CK,1662872442
Dromolaxia,34.8761,33.586,27.62,68,0,2.06,CY,1662872738
Bambous Virieux,-20.3428,57.7575,22.9,62,89,6.11,MU,1662872738
Cape Town,-33.9258,18.4232,12.97,92,95,0.89,ZA,1662872673
Morón,-34.6534,-58.6198,12.2,70,0,1.81,AR,1662872739
Toowoomba,-27.55,151.9667,18.47,56,92,2.24,AU,1662872740
Iskateley,67.6803,53.1512,8.43,87,100,5.67,RU,1662872740
Ardakān,32.31,54.0175,27.25,31,48,4.85,IR,1662872740
Quatre Cocos,-20.2078,57.7625,22.83,61,72,6.09,MU,1662872742
Dikson,73.5069,80.5464,3.71,77,100,7.79,RU,1662872742
Qaanaaq,77.484,-69.3632,3.17,99,100,3.23,GL,1662872743
Husavik,66.0449,-17.3389,9.7,99,100,4.56,IS,1662872743
Vardø,70.3705,31.1107,6.99,93,100,2.06,NO,1662872743
Barrow,71.2906,-156.7887,2.01,93,100,6.69,US,1662872744
Havelock,34.8791,-76.9013,27.99,89,100,3.85,US,1662872745
Puerto Ayora,-0.7393,-90.3518,19.33,79,53,4.58,EC,1662872745
Coquimbo,-29.9533,-71.3436,11.85,82,100,0.0,CL,1662872746
Kavieng,-2.5744,150.7967,28.84,68,31,6.41,PG,1662872746
Ubari,26.5921,12.7805,22.02,37,0,1.54,LY,1662872747
Vaini,-21.2,-175.2,26.09,83,20,3.6,TO,1662872748
Mahon,39.8885,4.2658,22.31,94,20,1.54,ES,1662872748
Edd,13.9297,41.6925,33.67,56,56,1.02,ER,1662872749
Pevek,69.7008,170.3133,5.11,81,8,2.52,RU,1662872749
Fuerte Olimpo,-21.0415,-57.8738,16.31,48,7,2.1,PY,1662872750
Zabid,14.1951,43.3152,32.46,59,54,1.05,YE,1662872751
Birao,10.2849,22.7882,21.56,97,67,1.74,CF,1662872751
Lebu,-37.6167,-73.65,8.39,92,9,4.72,CL,1662872751
Port Blair,11.6667,92.75,31.02,66,40,5.66,IN,1662872752
Asău,46.4333,26.4,11.51,89,65,1.77,RO,1662872752
Freeport,40.6576,-73.5832,23.31,76,0,3.09,US,1662872752
Cerqueira César,-23.0356,-49.1661,15.56,91,39,5.43,BR,1662872753
Along,28.1667,94.7667,32.81,46,2,1.08,IN,1662872754
Bluff,-46.6,168.3333,13.22,71,0,4.03,NZ,1662872754
Saint George,37.1041,-113.5841,23.33,64,0,1.54,US,1662872755
Butaritari,3.0707,172.7902,27.64,73,15,6.0,KI,1662872756
Ponta do Sol,32.6667,-17.1,25.0,92,91,3.71,PT,1662872756
Tiksi,71.6872,128.8694,3.29,93,100,2.68,RU,1662872757
Manises,39.4914,-0.4635,25.15,84,0,2.06,ES,1662872757
Petawawa,45.9001,-77.3328,17.66,79,84,0.65,CA,1662872758
Clyde River,70.4692,-68.5914,3.13,100,100,1.03,CA,1662872759
Borogontsy,62.6683,131.1683,7.49,60,65,3.93,RU,1662872759
Cidreira,-30.1811,-50.2056,10.29,74,0,2.2,BR,1662872760
Kapaa,22.0752,-159.319,27.99,79,40,4.63,US,1662872761
Sibu,2.3,111.8167,31.36,57,100,1.76,MY,1662872762
Hithadhoo,-0.6,73.0833,27.73,70,77,5.92,MV,1662872763
Mount Gambier,-37.8333,140.7667,10.95,93,100,6.69,AU,1662872763
Assiniboia,49.6334,-105.9845,13.95,36,1,4.09,CA,1662872764
Berlevåg,70.8578,29.0864,7.0,87,100,4.12,NO,1662872765
Hwange,-18.3693,26.5019,19.08,36,0,0.91,ZW,1662872766
Cherskiy,68.75,161.3,13.2,56,86,2.82,RU,1662872766
Grindavik,63.8424,-22.4338,8.26,93,0,9.26,IS,1662872767
Broken Hill,-31.95,141.4333,17.64,38,18,2.06,AU,1662872768
Tasiilaq,65.6145,-37.6368,4.09,74,85,2.2,GL,1662872769
Souillac,-20.5167,57.5167,22.4,65,41,5.8,MU,1662872770
St. George's,12.0564,-61.7485,27.55,79,37,5.3,GD,1662872770
Geraldton,-28.7667,114.6,24.23,33,75,5.66,AU,1662872771
Upernavik,72.7868,-56.1549,5.26,97,100,5.32,GL,1662872771
Tateyama,34.9833,139.8667,29.5,68,63,8.47,JP,1662872529
Caravelas,-17.7125,-39.2481,20.53,81,25,3.54,BR,1662872772
Maceió,-9.6658,-35.7353,21.69,94,100,1.54,BR,1662872773
Aklavik,68.2191,-135.0107,6.53,96,100,1.73,CA,1662872774
Iqaluit,63.7506,-68.5145,4.83,93,100,6.71,CA,1662872774
Yerbogachën,61.2767,108.0108,11.61,57,100,4.96,RU,1662872775
Moerai,-22.4333,-151.3333,23.31,80,8,6.77,PF,1662872775
Arraial do Cabo,-22.9661,-42.0278,20.49,93,99,9.02,BR,1662872776
Quimper,48.0,-4.1,17.32,100,100,2.57,FR,1662872777
Atocha,-20.9333,-66.2333,5.14,36,67,6.13,BO,1662872777
Moranbah,-22.0016,148.0466,26.82,24,0,2.08,AU,1662872777
Bonnyville,54.2668,-110.735,13.28,48,2,1.76,CA,1662872778
Bethel,41.3712,-73.414,21.06,79,0,0.45,US,1662872779
Alofi,-19.0595,-169.9187,24.87,78,100,6.77,NU,1662872780
Pisco,-13.7,-76.2167,13.9,82,3,0.12,PE,1662872781
Phalaborwa,-23.943,31.1411,21.34,25,0,2.11,ZA,1662872781
Bilibino,68.0546,166.4372,11.98,49,84,0.49,RU,1662872782
Palmer,42.1584,-72.3287,20.84,78,85,0.76,US,1662872573
Half Moon Bay,37.4636,-122.4286,23.9,82,75,3.6,US,1662872784
São Filipe,14.8961,-24.4956,25.8,82,13,0.38,CV,1662872784
Lázaro Cárdenas,17.9583,-102.2,26.6,86,100,3.27,MX,1662872785
